shuffle_method,spearman_correlation
100 shard,0.001761940118556071
100 shard,0.0036997698441739815
100 shard,0.007644013090996881
100 shard,0.008083642685295253
100 shard,0.0004597379890300841
100 shard,0.009393902876363863
100 shard,0.003452608238702356
100 shard,0.008698881668771058
100 shard,0.006181965560996902
100 shard,0.00797074905079535
100 shard,0.001860246800452048
100 shard,0.009461012927978157
100 shard,0.010158154151792312
100 shard,0.015522759170559813
100 shard,0.007023570735161646
100 shard,0.01237755266994183
100 shard,0.003860175709265968
100 shard,0.009405210111116885
100 shard,0.02171744059308891
100 shard,0.007253664556405946
100 shard,0.007911345414549981
100 shard,0.006657473973011227
100 shard,0.0053602360539136045
100 shard,0.0020647085470333554
100 shard,0.002531266301743474
100 shard,0.005314754238433624
100 shard,0.00763806696699537
100 shard,0.007608804268502554
100 shard,0.0017083818812824458
100 shard,0.0006159499687402281
1000 shard,0.01625382083095374
1000 shard,0.061858612521143705
1000 shard,0.007287059846316646
1000 shard,0.052552727519734665
1000 shard,0.012582315680641205
1000 shard,0.00046362915396659486
1000 shard,0.023909054315677497
1000 shard,0.04846010295756102
1000 shard,0.024218000902767677
1000 shard,0.00488610712248271
1000 shard,0.0649166629395683
1000 shard,0.018129455055640887
1000 shard,0.02190443058658617
1000 shard,0.05808705099055075
1000 shard,0.028197729927334415
1000 shard,0.017017964107955075
1000 shard,0.018375870844683076
1000 shard,0.009498331934742426
1000 shard,0.04039935252098843
1000 shard,0.01792943013253269
1000 shard,0.006387103376958561
1000 shard,0.024376064346459766
1000 shard,0.046371480897421574
1000 shard,0.011123174301417191
1000 shard,0.05502775322141694
1000 shard,0.043341388700889986
1000 shard,0.04007799385894113
1000 shard,0.01826666609854339
1000 shard,0.02475822080591999
1000 shard,0.03737611848056672
50000 shard,0.2599607487606959
50000 shard,0.006881229994735498
50000 shard,0.6994488948581544
50000 shard,0.036142400932105904
50000 shard,0.5071228952859071
50000 shard,0.005698169954787368
50000 shard,0.1770320659005818
50000 shard,0.05024313325346191
50000 shard,0.19300317801461644
50000 shard,0.5033436183245548
50000 shard,0.14393788152679013
50000 shard,0.2785961928828031
50000 shard,0.307647700785538
50000 shard,0.21440433560897623
50000 shard,0.24437120458323644
50000 shard,0.2258077672179035
50000 shard,0.07539575865467052
50000 shard,0.1906002327160752
50000 shard,0.528427783700876
50000 shard,0.05786760152489142
50000 shard,0.29545373749910775
50000 shard,0.42241545429940885
50000 shard,0.020683286542765755
50000 shard,0.06200053337477168
50000 shard,0.5122928394688793
50000 shard,0.31113918005021496
50000 shard,0.2087824722704325
50000 shard,0.036221592809856776
50000 shard,0.021520115014595356
50000 shard,0.08366535229037692
250000 shard,0.7776628779782006
250000 shard,0.5618072575233811
250000 shard,0.33947054923665543
250000 shard,0.9999995686212867
250000 shard,0.3207135438720146
250000 shard,0.32071341727728
250000 shard,0.3394705781860141
250000 shard,0.33947057153171356
250000 shard,0.5618073092735825
250000 shard,0.5430501914530315
250000 shard,0.32071346591710953
250000 shard,0.999999567263202
250000 shard,0.7776628431535653
250000 shard,0.5618073280731188
250000 shard,0.5430501418712632
250000 shard,0.56180727461288
250000 shard,0.32071346220572305
250000 shard,0.5618073041464056
250000 shard,0.5618072830632834
250000 shard,0.5618072586408399
250000 shard,0.5618072898622986
250000 shard,0.33947057424321286
250000 shard,0.9999995667876952
250000 shard,0.5618072585295786
250000 shard,0.777662855541144
250000 shard,0.9999995660103618
250000 shard,0.9999995653057262
250000 shard,0.561807267261349
250000 shard,0.3207134876214643
250000 shard,0.32071345537196366
